Number,Name_of_Covered_Entity,State,Business_Associate_Involved,Individuals_Affected,Type_of_Breach,Location_of_Breached_Information,Date_Posted_or_Updated,Summary,breach_start,breach_end,year,type_num
508,Troy Regional Medical Center,AL,None,880,Unauthorized Access/Disclosure,Paper,2014-01-23,Unknown detailed,2011-03-22,Unknown Date,2011,Unauthorized Access/Disclosure
509,Lansing Community College,MI,AssureCare Risk Management,5000,Hacking/IT Incident,Network Server,2014-03-24,Unknown detailed,2011-05-09,Unknown Date,2011,Hacking/IT Incident
510,Dr Axel Velez,PR,None,2800,Theft,Desktop Computer,2014-03-13,Unknown detailed,2011-06-19,Unknown Date,2011,Theft
511,Beth Israel Deaconess Medical Center,MA,None,2021,Hacking/IT Incident,Network Server,2014-01-23,Unknown detailed,2011-04-17,Unknown Date,2011,Hacking/IT Incident
512,"Gypsum Management and Supply, Inc. Medical and Dental Plan",GA,"Assurecare Risk Management, Inc.",25330,Unauthorized Access/Disclosure,Network Server,2014-01-23,Unknown detailed,2011-05-09,Unknown Date,2011,Unauthorized Access/Disclosure
513,Louisiana State University Health Care Services Division,LA,None,6994,Unauthorized Access/Disclosure,Desktop Computer,2014-01-23,Unknown detailed,2011-12-01,Unknown Date,2011,Unauthorized Access/Disclosure
514,Henry Ford Hospital,MI,None,2777,Loss,"Other Portable Electronic Device, Other",2014-01-23,Unknown detailed,2011-01-31,Unknown Date,2011,Loss
515,"Charleston Area Medical Center, Inc",WV,Xforia Web Services,3655,Unauthorized Access/Disclosure,Network Server,2014-01-23,Unknown detailed,2011-02-08,Unknown Date,2011,Unauthorized Access/Disclosure
516,Walgreen Co.,IL,Business Express,2700,Theft,"Other Portable Electronic Device, Other",2014-06-10,Unknown detailed,2011-01-26,Unknown Date,2011,Theft
517,Cancer Care Northwest P.S.,WA,None,3100,Theft,Paper,2014-06-30,"The covered entity (CE) accidentally mailed the protected health information (PHI) of approximately 3,100 individuals to other individuals when a mail-merge process mismatched names and addresses.  The PHI involved in the breach included names and indicated that the individuals were patients of the CE.  Following the breach, the CE implemented additional safeguards, as well as policies and procedures to ensure mailing list accuracy.  As a result of this incident, OCR required the CE to train its workforce members on its newly developed policies and procedures.  Additionally, OCR provided technical assistance regarding substitute breach notification methods, including a conspicuous posting on the CE's website.",2011-01-07,Unknown Date,2011,Theft
518,"Ortho Montana, PSC",MT,None,37000,"Theft, Loss",Laptop,2014-02-14,Unknown detailed,2011-01-08,Unknown Date,2011,"Theft, Loss"
519,Associated Urologists of North Carolina,NC,None,7300,Other,Other,2014-01-23,Unknown detailed,2012-09-17,2013-09-17,2012,Other
520,Hope Hospice,TX,None,818,Other,E-mail,2014-01-23,Unknown detailed,2012-12-27,2013-02-22,2012,Other
521,Network Health Insurance Corporation,WI,TMG Health ,3794,Unauthorized Access/Disclosure,Paper,2014-03-24,Unknown detailed,2012-02-27,Unknown Date,2012,Unauthorized Access/Disclosure
522,UPMC,PA,None,1279,Unauthorized Access/Disclosure,Electronic Medical Record,2014-02-18,Unknown detailed,2012-11-05,2013-11-06,2012,Unauthorized Access/Disclosure
523,UMASSAmherst,MA,None,1670,Hacking/IT Incident,Desktop Computer,2014-01-23,Unknown detailed,2012-10-22,Unknown Date,2012,Hacking/IT Incident
524,University of Florida,FL,None,5875,"Theft, Unauthorized Access/Disclosure",Electronic Medical Record,2014-01-23,Unknown detailed,2012-02-01,2013-04-11,2012,"Theft, Unauthorized Access/Disclosure"
525,Sheet Metal Local 36 Welfare Fund,MO,People Resource Corporation,4560,Unauthorized Access/Disclosure,Other,2014-01-23,Unknown detailed,2012-08-01,2013-07-08,2012,Unauthorized Access/Disclosure
526,Long Beach Memorial Medical Center,CA,None,2864,Unauthorized Access/Disclosure,Electronic Medical Record,2014-01-23,Unknown detailed,2012-09-01,2013-07-01,2012,Unauthorized Access/Disclosure
527,Health Texas Provider Network - Cardiovascular Consultants of North Texas,TX,None,2462,Unauthorized Access/Disclosure,Electronic Medical Record,2014-01-23,Unknown detailed,2012-03-16,2012-05-11,2012,Unauthorized Access/Disclosure
528,"Sharon L. Rogers, Ph.D., ABPP",TX,None,585,Theft,Laptop,2014-01-23,Unknown detailed,2012-06-16,Unknown Date,2012,Theft
529,"Bruce G. Peller, DMD, PA",NC,None,9953,Unauthorized Access/Disclosure,Desktop Computer,2014-01-23,Unknown detailed,2012-04-22,Unknown Date,2012,Unauthorized Access/Disclosure
530,Karen Kietzman,MT,None,708,Theft,"Laptop, Other Portable Electronic Device",2014-03-21,Unknown detailed,2012-04-22,Unknown Date,2012,Theft
531,Wolf & Yun,KY,None,824,Theft,Laptop,2014-01-23,Unknown detailed,2012-04-24,Unknown Date,2012,Theft
532,University of Kentucky HealthCare,KY,None,4490,Theft,Laptop,2014-01-23,Unknown detailed,2012-05-01,Unknown Date,2012,Theft
533,"Stephen Haggard, DPM Podiatry ",WA,None,1597,Theft,Network Server,2014-01-23,Unknown detailed,2012-03-04,Unknown Date,2012,Theft
534,"Oakland Vision Services, PC",MI,None,3000,Hacking/IT Incident,Network Server,2014-03-24,Unknown detailed,2012-04-09,Unknown Date,2012,Hacking/IT Incident
535,"Robert Witham, MD, FACP",OR,None,11136,Theft,Desktop Computer,2014-01-23,Unknown detailed,2012-04-16,Unknown Date,2012,Theft
536,"Metcare of Florida, Inc.",FL,None,2557,Theft,Other Portable Electronic Device,2014-01-23,Unknown detailed,2012-05-01,2012-05-02,2012,Theft
537,"Mid America Health, Inc.",IN,PrevMED,1444,Theft,Laptop,2014-01-23,Unknown detailed,2012-04-06,Unknown Date,2012,Theft
538,Charlie Norwood VA Medical Center,GA,None,824,Loss,Other Portable Electronic Device,2014-01-23,Unknown detailed,2012-03-30,Unknown Date,2012,Loss
539,"Volunteer State Health Plan, Inc. ",TN,None,1102,Loss,Paper,2014-01-23,Unknown detailed,2012-03-16,2012-04-20,2012,Loss
540,Lutheran Community Services Northwest,WA,None,756,Theft,"Desktop Computer, Other Portable Electronic Device",2014-01-23,Unknown detailed,2012-03-29,2012-03-30,2012,Theft
541,VNA HealthCare,CT,EMC,7461,Theft,Laptop,2014-02-19,Unknown detailed,2012-06-25,Unknown Date,2012,Theft
542,Walgreen Co.,IL,None,1240,Theft,Paper,2014-01-23,Unknown detailed,2012-07-05,Unknown Date,2012,Theft
543,Northwestern Memorial Hospital,IL,None,4211,Theft,"Laptop, Other Portable Electronic Device",2014-01-23,Unknown detailed,2012-06-11,Unknown Date,2012,Theft
544,Jeffrey Paul Edelstein M.D.,AZ,None,4800,Theft,Network Server,2014-01-23,Unknown detailed,2012-05-28,Unknown Date,2012,Theft
545,Kindred Healthcare Inc d/b/a Kindred Transitional Care and Rehabilitation-Sellersburg,IN,None,1504,Theft,Other,2014-01-23,Unknown detailed,2012-06-01,2012-06-04,2012,Theft
546,"The Surgeons of Lake County, LLC",IL,None,7067,Other,Network Server,2014-01-23,Unknown detailed,2012-06-22,2012-06-25,2012,Other
547,"Luz Colon, DPM  Podiatry ",FL,None,1137,"Theft, Loss",Laptop,2014-01-23,Unknown detailed,2012-03-20,Unknown Date,2012,"Theft, Loss"
548,"Adult & Child Center, Inc.",IN,"Choices, Inc.",550,Hacking/IT Incident,Other,2014-01-23,Unknown detailed,2012-05-10,Unknown Date,2012,Hacking/IT Incident
549,NYU School of Medicine Faculty Group Practice,NY,None,8488,Theft,Desktop Computer,2014-01-23,Unknown detailed,2012-05-22,Unknown Date,2012,Theft
550,Beth Israel Deaconess Medical Center,MA,None,3900,Theft,Laptop,2014-01-23,Unknown detailed,2012-05-22,Unknown Date,2012,Theft
551,Pamlico Medical Equipment LLC,NC,None,2917,Loss,Other Portable Electronic Device,2014-01-23,Unknown detailed,2012-05-16,Unknown Date,2012,Loss
552,Molalla Family Dental,OR,None,4354,"Unauthorized Access/Disclosure, Hacking/IT Incident, Other",Network Server,2014-01-23,Unknown detailed,2012-05-17,Unknown Date,2012,"Unauthorized Access/Disclosure, Hacking/IT Incident, Other"
553,Visiting Nurse Services of Iowa,IA,None,1298,Theft,Paper,2014-01-23,Unknown detailed,2012-05-27,Unknown Date,2012,Theft
554,Hamner Square Dental ,CA,"Patterson Dental, Inc",1112,"Theft, Loss, Unauthorized Access/Disclosure, Unknown",Other Portable Electronic Device,2014-01-23,Unknown detailed,2012-05-12,Unknown Date,2012,"Theft, Loss, Unauthorized Access/Disclosure, Unknown"
555,River Arch Dental,CA,"Patterson Dental, Inc.",2533,"Loss, Unauthorized Access/Disclosure, Unknown",Other Portable Electronic Device,2014-01-23,Unknown detailed,2012-05-12,Unknown Date,2012,"Loss, Unauthorized Access/Disclosure, Unknown"
556,SwedishAmerican Health System,IL,None,1500,Theft,Paper,2014-03-24,Unknown detailed,2012-05-31,Unknown Date,2012,Theft
557,Titus Regional Medical Center,TX,None,500,Theft,Other,2014-01-23,Unknown detailed,2012-03-29,Unknown Date,2012,Theft
558,Titus Regional Medical Center,TX,None,5700,"Loss, Unknown",Laptop,2014-01-23,Unknown detailed,2012-03-27,Unknown Date,2012,"Loss, Unknown"
559,Physician's Automated Laboratory,CA,None,745,Theft,Paper,2014-01-23,Unknown detailed,2012-03-23,2012-03-26,2012,Theft
560,Children's Hospital Boston,MA,None,2159,Theft,Laptop,2014-01-23,Unknown detailed,2012-03-25,Unknown Date,2012,Theft
561,Ameritas Life Insurance Corp. ,NE,None,3000,Theft,Laptop,2014-01-23,Unknown detailed,2012-03-21,Unknown Date,2012,Theft
562,IU Medical Group,IN,None,1000,Improper Disposal,Paper,2014-01-23,Unknown detailed,2012-04-11,Unknown Date,2012,Improper Disposal
563,Utah Department of Health,UT,Utah Department of Technology Services,780000,Hacking/IT Incident,Network Server,2014-01-23,Unknown detailed,2012-03-10,2012-04-02,2012,Hacking/IT Incident
564,Seton Health Plan,TX,HealthLOGIX,555,Unauthorized Access/Disclosure,Paper,2014-01-23,Unknown detailed,2012-03-09,Unknown Date,2012,Unauthorized Access/Disclosure
565,West Dermatology,CA,None,1900,Theft,Other,2014-01-23,Unknown detailed,2012-04-21,2012-04-22,2012,Theft
566,Our Lady of the Lake Regional Medical Center,LA,None,17000,"Theft, Loss",Laptop,2014-01-23,Unknown detailed,2012-03-16,Unknown Date,2012,"Theft, Loss"
567,St. Mary Medical Center,CA,None,3900,Loss,Other Portable Electronic Device,2014-01-23,Unknown detailed,2012-05-07,Unknown Date,2012,Loss
568,Tricounty Behavioral Health Clinic,GA,None,4000,Theft,Laptop,2014-01-23,Unknown detailed,2012-08-26,Unknown Date,2012,Theft
569,"Cancer Care Group, P.C.",IN,None,55000,Theft,Other Portable Electronic Device,2014-03-24,Unknown detailed,2012-07-19,Unknown Date,2012,Theft
570,LANA MEDICAL CARE,FL,None,500,Theft,Laptop,2014-01-23,Unknown detailed,2012-08-18,Unknown Date,2012,Theft
571,Central States Southeast and Siouthwest Areas Health & Welfare Fund,IL,None,754,"Unauthorized Access/Disclosure, Other",Paper,2014-01-23,Unknown detailed,2012-07-31,Unknown Date,2012,"Unauthorized Access/Disclosure, Other"
572,The University of Texas MD Anderson Cancer Center,TX,None,2264,Loss,Other Portable Electronic Device,2014-01-23,Unknown detailed,2012-07-13,Unknown Date,2012,Loss
573,"Gessler Clinic, P.A.",FL,None,1409,Theft,Paper,2014-01-23,Unknown detailed,2012-05-03,2012-05-04,2012,Theft
574,"Liberty Resources, Inc.",PA,None,3183,Theft,Laptop,2014-06-24,"An employee's personal laptop computer that contained the unencrypted electronic protected health information (ePHI) of 3,183 individuals was stolen from his vehicle.  The ePHI involved in the breach included consumer names, identification numbers, diagnosis codes,  base service unit numbers, service start and end dates, service names, procedure codes, service location identifiers, units authorized, units utilized, units cost, total authorization amounts, total utilized amounts, authorization dates, funding sources, provider names, and master provider index numbers.  The CE timely notified all affected individuals, the media, and HHS, and offered assistance to consumers who wished to place fraud alerts on their consumer credit files.  Following the breach, the CE created and implemented a new policy and procedure to improve safeguards.  This policy prohibits downloading any PHI to a home computer or portable device, prohibits forwarding emails containing PHI to a personal account, cloud service, or unauthorized user, and requires full-disk encryption of agency laptops.  OCR obtained assurances that the CE implemented the corrective action listed above. 





",2012-08-04,Unknown Date,2012,Theft
575,TEMPLE COMMUNITY HOSPITAL,CA,None,603,Theft,Desktop Computer,2014-01-23,Unknown detailed,2012-07-03,Unknown Date,2012,Theft
576,Howard University Hospital,DC,"Siemens Medical Solutions, USA",66601,Theft,Laptop,2014-01-23,Unknown detailed,2012-01-25,Unknown Date,2012,Theft
577,Midtown Mental Health Center,IN,"CHOICES, Inc",890,Hacking/IT Incident,Other,2014-01-23,Unknown detailed,2012-05-10,Unknown Date,2012,Hacking/IT Incident
578,Stanford Hospital & Clinics and School of Medicine,CA,None,2300,Theft,Desktop Computer,2014-01-23,Unknown detailed,2012-07-15,2012-07-16,2012,Theft
579,Oregon Health & Science University,OR,None,702,Theft,Other,2014-01-23,Unknown detailed,2012-07-04,Unknown Date,2012,Theft
580,Diversified Support Services,IN,"Choices, Inc.",505,Hacking/IT Incident,Other,2014-01-23,Unknown detailed,2012-05-10,Unknown Date,2012,Hacking/IT Incident
581,Hartford Hospital,CT,EMC,2097,Theft,Laptop,2014-04-23,Unknown detailed,2012-06-25,Unknown Date,2012,Theft
582,"Coastal home Respiratory, LLP",GA,None,3440,Theft,Other,2014-01-23,Unknown detailed,2012-10-04,Unknown Date,2012,Theft
583,"Alere Home Monitoring, Inc",CA,None,116506,Theft,Laptop,2014-01-23,Unknown detailed,2012-09-23,Unknown Date,2012,Theft
584,"Blount Memorial Hospital, Inc",TN,None,27799,Theft,Laptop,2014-01-23,Unknown detailed,2012-08-25,Unknown Date,2012,Theft
585,Gulf Coast Health Care Services Inc,FL,None,13000,"Theft, Unauthorized Access/Disclosure, Hacking/IT Incident",Network Server,2014-01-23,Unknown detailed,2012-08-17,Unknown Date,2012,"Theft, Unauthorized Access/Disclosure, Hacking/IT Incident"
